> -L"Border Ranges" -Wthicker
-141.095393015	60.7439625763
-141.183443496	60.7444807623
-141.335739581	60.7347535223
-141.546860964	60.7504464439
-141.726594379	60.7984767501
-141.866288267	60.8492127649
-142.058148367	60.8655436142
-142.019482684	60.8859862048
-142.315016988	60.8783614144
-142.494518409	60.9187108086
-142.9226755	61.033865425
-143.435688155	61.1407333865
-143.942302247	61.2192695911
-144.10335457	61.2465241435
-144.364486143	61.2901920776
-144.614150977	61.3488510502
-144.602674306	61.3907494624
-144.914021002	61.3887338639
-145.26429807	61.4776398381
-145.839493613	61.679705844
-146.116707851	61.7196302068
-146.556174688	61.673352848
-146.775396973	61.6496717648
-147.114725822	61.694564531
-147.469269697	61.7094902468
-147.83800158	61.6943345661
-148.20666931	61.7332412123
-148.376756698	61.6713495919
-148.614555371	61.628398913
-148.891539235	61.5523638684
-149.294592197	61.4454218343
-149.650224809	61.2599850227
-149.860469526	61.079659574
-150.060264967	60.905961368
-150.164196531	60.8146906637
-150.671201224	60.3800118101
-151.219683384	59.8507112455
-151.333677831	59.7423883438
-151.459994326	59.6213555239
-151.6203834	59.4808366163
-151.876212552	59.2405373188
-152.043375416	59.0085385872
-152.391383864	58.6785435613
-152.650669843	58.3616922362
-152.986594322	58.2222883256
-153.43531848	57.9802864831
-153.95455334	57.6249649514
-154.221486921	57.3955968209
-154.508236978	57.2906653368
-154.840004806	57.0780363746
> -L"Border Ranges" -Wthicker
-139.701992173	60.3196603426
-139.762461178	60.3186723324
-139.803002183	60.3232453265
-139.861480197	60.3388453161
-139.919604219	60.3642423058
-139.996288248	60.4024222924
-140.066079275	60.4375592797
-140.144624303	60.4688412662
-140.216801321	60.4896072535
-140.327183352	60.5278202342
-140.445841372	60.545253215
-140.500128376	60.5456422058
-140.587772378	60.5392271924
-140.665096395	60.5567121794
-140.730341419	60.5875221673
-140.78805045	60.6291871564
-140.86624049	60.6830561418
-140.906526513	60.7149881337
-140.97460953	60.7331591225
-141.03262786	60.7393578155
-141.095393015	60.7439625763
> -L"Border Ranges" -Wthicker
-136.856180097	58.9382128349
-136.886208115	58.9637018292
-136.928116132	58.9883268219
-136.982866158	59.0245008126
-137.051958196	59.0764858007
-137.123761234	59.1328417877
-137.196727269	59.1798997751
-137.287684311	59.2355237591
-137.379665349	59.2870727436
-137.461814379	59.325642729
-137.53496541	59.3665727163
-137.640060441	59.4036236991
-137.788606487	59.4596796744
-137.917077522	59.4997536533
-138.054051551	59.526628631
-138.255846586	59.5589215977
-138.349233606	59.5805085826
-138.49077865	59.6324295585
-138.56080868	59.6710535462
-138.639423714	59.7169695324
-138.69499574	59.7521565227
-138.751404765	59.785649512
-138.830628803	59.8366984979
-138.879282827	59.8698564897
-138.960306858	59.9093364749
-139.065269898	59.958830457
-139.135844932	60.0046194439
-139.244831986	60.0764244245
-139.308836034	60.1446414119
-139.374895083	60.2141713983
-139.442053109	60.2477273864
-139.495194127	60.269948377
-139.568300148	60.2953043651
> -L"Border Ranges" -Wthicker
-134.797357508	57.3142932324
-134.814693881	57.3411636457
-135.106860956	57.4387785816
-135.386963771	57.5619307015
-135.751270991	57.7080777774
-136.122351278	57.8875368607
-136.364456594	58.0355700446
-136.449605469	58.1140923129
-136.473201885	58.1357754524
-136.587821852	58.2789295626
-136.717535113	58.4041461754
-136.750201014	58.5327028175
-136.821517301	58.7030800283
-136.856016205	58.8401487665
-136.893894185	58.9160718549
> -L"Farewell" -Wthicker 
-162.059408197	59.5543179948
-160.936373565	60.1214125409
-160.382578476	60.3537045922
-159.825094164	60.515658148
-158.777377538	60.9731302592
-158.529983595	61.0293932927
-158.216813688	61.1335413331
-157.731425833	61.2962403945
-156.452297179	61.6687925653
-155.062931533	62.0491737568
-154.854650609	62.1376637832
-154.536120732	62.2819818232
-154.261069818	62.3798948606
-153.961978885	62.4500859039
-153.726821921	62.4846009394
-153.640055039	62.4965610808
> -L"Hines Creek" 
-153.726821921	62.4846009394
-152.861605263	62.7993119901
-152.325843601	62.921577692
-151.987397388	63.0653720243
-151.576777916	63.1760454399
-151.041419373	63.3124444265
-150.484828585	63.3863511927
-150.033181001	63.4444388538
-149.357218426	63.5178911999
-148.650344732	63.5809558252
-147.967822145	63.6065457245
-147.492786633	63.5861297646
-146.978034188	63.548633651
> -L"Tintina" -Wthicker
-135.445888515	62.8899139643
-135.488348025	62.9075195367
-135.536405593	62.9269396973
-135.592011104	62.9461771505
-135.682887407	62.9733625875
-135.751692542	62.993699965
-135.810504754	63.0103448363
-135.843828054	63.0197829017
-136.503547389	63.2602473943
-136.5363753	63.2723339944
-136.696618698	63.3390723805
-137.068431447	63.4796268371
-137.282231758	63.5575918536
-137.623603107	63.664315393
-138.017265571	63.7906965471
-138.52622546	63.9606370326
-139.09604504	64.1419725474
-139.569140096	64.299193678
-140.999039625	64.7254949566
-141.000026524	64.7257798742
-141.658055239	64.8802538716
-142.317418616	65.0506309277
-142.529657211	65.1060807373
-142.906633562	65.2032725582
-143.529143335	65.3008928511
-144.216771766	65.4217689218
-144.787303159	65.5393866135
-145.467976425	65.666357254
-145.682936027	65.6655758891
-145.696816163	65.6723199135
> -L"Tintina"
-128.652835047	59.9856413803
-128.671462307	60.0008790406
-128.807117708	60.0984804032
-129.025487824	60.2543394923
-129.246488257	60.4052670236
-129.560321095	60.621189886
-129.651599794	60.6844041386
-129.768635857	60.7691075858
-129.898183189	60.8520241738
-129.991761377	60.9035366111
-130.071184508	60.9394283844
-130.14919285	60.9962503591
-130.294573095	61.0503527064
-130.45964232	61.1122271824
